범죄분류,발생건수(건),검거건수(건),남자검거인원(명),여자검거인원(명),미상검거인원(명),법인(개)
도로교통법(음주측정거부),2800,2785,2501,260,0,0
도로법,2013,1955,2075,164,73,387
도시 및 주거환경정비법,332,309,516,219,68,12
독점규제 및 공정거래에 관한법률,4,2,9,0,0,3
디자인보호법,199,163,213,68,62,72
마약류관리에 관한법률(대마),765,737,837,158,1,0
마약류관리에 관한법률(마약),1218,1205,561,701,4,1
마약류관리에 관한법률(향정),5450,5200,5025,1190,11,8
물환경보전법,414,408,416,50,24,167
범죄수익은닉의 규제 및 처벌등에 관한법률,29,24,64,31,3,10
변호사법,302,267,375,62,10,1
병역법,7248,6779,6832,157,1,5
보조금관리에 관한법률,605,605,1239,363,17,70
부동산 실권리자명의 등기에 관한법률,352,321,641,384,35,37
부정경쟁방지 및 영업비밀보호에 관한법률,419,365,706,123,36,121
부정수표단속법,1917,1316,932,181,20,41
사행행위등 규제 및 처벌특례법,403,393,502,51,0,0
산림자원의 조성 및 관리에 관한법률,184,146,221,31,0,15
산업안전보건법,21,19,36,2,3,9
산지관리법,470,451,568,110,8,52
상표법,2256,2180,1747,1310,52,122
석유 및 석유대체연료 사업법,684,672,1040,150,9,46
선박안전법,18,18,35,3,0,8
선박직원법,16,16,43,1,0,0
성매매 알선등 행위의 처벌에 관한법률,10128,9985,12665,8225,63,5
수도법,184,186,173,17,2,17
수산업법,61,61,105,2,0,4
수산자원관리법,93,94,175,42,0,5
식품위생법,6049,6001,3490,5025,105,193
신용정보의 이용 및 보호에 관한법률,58,55,95,22,0,4
아동·청소년의 성보호에 관한법률(성매수등),723,683,894,170,1,0
아동·청소년의 성보호에 관한법률(음란물등),479,418,514,12,0,0
아동복지법,3602,3548,2210,2252,5,3
액화석유가스의 안전관리 및 사업법,96,95,208,15,2,16
약사법,873,834,936,513,8,37
여객자동차운수사업법,1768,1664,2543,196,31,89
여신전문금융업법,2149,1282,1372,494,43,63
영유아보육법,185,180,32,344,2,3
예비군법,8076,7663,7571,10,0,0
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,665,592,505,77,41,109
외국환거래법,92,91,145,63,1,3
위험물안전관리법,140,138,148,2,2,10
유사수신행위의 규제에 관한법률,697,598,1399,635,27,68
의료기기법,269,264,231,117,98,46
의료법,2663,2557,2756,2497,101,129
자동차관리법,18541,17857,19019,1982,168,547
자동차 손해배상보장법,15506,15233,14241,1893,3,5
자본시장과 금융투자업에 관한법률,64,55,148,37,2,8
저작권법,13384,6683,6386,2116,3140,840
전자금융거래법,5477,5429,13574,6017,16,2
전파법,52,50,82,9,1,11
정보통신망이용촉진 및 정보보호 등에 관한법률,12995,8971,7335,3713,736,68
조세범처벌법,2345,2024,3260,499,141,1086
주민등록법,1695,1350,1088,877,41,5
주차장법,320,316,280,158,2,21
주택법,370,347,1171,705,14,43
직업안정법,361,357,607,131,10,12
집회 및 시위에 관한법률,247,242,397,66,10,0
청소년보호법,9000,8883,5404,6101,11,18
총포·도검·화약류등의 안전관리에 관한법률,48,45,52,3,0,4
축산물위생관리법,791,782,799,230,15,88
출입국관리법,1972,1871,1949,715,14,320
통신비밀보호법,135,128,135,59,9,1
특가법(도주차량),4799,4529,4765,820,28,3
특허법,192,166,246,42,37,73
폐기물관리법,1068,983,1294,113,43,296
풍속영업의 규제에 관한법률,201,200,221,73,0,0
하천법,205,202,224,52,3,7
학교보건법,78,76,49,30,0,0
학원의 설립운영 및 과외교습에 관한법률,510,509,186,373,0,0
화물자동차운수사업법,2096,2072,2638,106,11,79
화재로 인한 재해보상과 보험가입에 관한법률,14,0,0,0,0,0
화재예방·소방시설설치유지 및 안전관리에 관한법률,1,1,0,4,0,0
화학물질관리법,306,308,364,118,4,8
기타특별법,36285,34951,31132,15417,1349,1446
